national_number,gen,english_name,japanese_name,primary_type,secondary_type,classification,percent_male,percent_female,height_m,weight_kg,capture_rate,base_egg_steps,hp,attack,defense,sp_attack,sp_defense,speed,abilities_0,abilities_1,abilities_2,abilities_hidden,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fighting,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy,is_sublegendary,is_legendary,is_mythical,evochain_0,evochain_1,evochain_2,evochain_3,evochain_4,evochain_5,evochain_6,gigantamax,mega_evolution,mega_evolution_alt,description,image_path
1,I,bulbasaur,Fushigidane,grass,poison,Seed Pokémon,88.14,11.86,0.7,6.9,45,5120,45,49,49,65,65,45,Overgrow,,,Chlorophyll,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0,0,0,Bulbasaur,Level ,Ivysaur,Level ,Venusaur,,,,,,There is a plant seed on its back right from the day this Pokémon is born. The seed slowly grows larger.,pokemon_images/Bulbasaur.jpg
2,I,ivysaur,Fushigisou,grass,poison,Seed Pokémon,88.14,11.86,1.0,13.0,45,5120,60,62,63,80,80,60,Overgrow,,,Chlorophyll,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0,0,0,Bulbasaur,Level ,Ivysaur,Level ,Venusaur,,,,,,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs.",pokemon_images/Ivysaur.jpg
3,I,venusaur,Fushigibana,grass,poison,Seed Pokémon,88.14,11.86,2.0,100.0,45,5120,80,82,83,100,100,80,Overgrow,,,Chlorophyll,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0,0,0,Bulbasaur,Level ,Ivysaur,Level ,Venusaur,,,Gigantamax Venusaur,Mega Venusaur,,Its plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.,pokemon_images/Venusaur.jpg
4,I,charmander,Hitokage,fire,,Lizard Pokémon,88.14,11.86,0.6,8.5,45,5120,39,52,43,60,50,65,Blaze,,,Solar Power,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,0,0,0,Charmander,Level ,Charmeleon,Level ,Charizard,,,,,,"It has a preference for hot things. When it rains, steam is said to spout from the tip of its tail.",pokemon_images/Charmander.jpg
5,I,charmeleon,Lizardo,fire,,Flame Pokémon,88.14,11.86,1.1,19.0,45,5120,58,64,58,80,65,80,Blaze,,,Solar Power,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,0,0,0,Charmander,Level ,Charmeleon,Level ,Charizard,,,,,,"It has a barbaric nature. In battle, it whips its fiery tail around and slashes away with sharp claws.",pokemon_images/Charmeleon.jpg
6,I,charizard,Lizardon,fire,flying,Flame Pokémon,88.14,11.86,1.7,90.5,45,5120,78,84,78,109,85,100,Blaze,,,Solar Power,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5,0,0,0,Charmander,Level ,Charmeleon,Level ,Charizard,,,Gigantamax Charizard,Mega Charizard X,Mega Charizard Y,It spits fire that is hot enough to melt boulders. It may cause forest fires by blowing flames.,pokemon_images/Charizard.jpg
7,I,squirtle,Zenigame,water,,Tiny Turtle Pokémon,88.14,11.86,0.5,9.0,45,5120,44,48,65,50,64,43,Torrent,,,Rain Dish,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,0,0,Squirtle,Level ,Wartortle,Level ,Blastoise,,,,,,"When it retracts its long neck into its shell, it squirts out water with vigorous force.",pokemon_images/Squirtle.jpg
8,I,wartortle,Kameil,water,,Turtle Pokémon,88.14,11.86,1.0,22.5,45,5120,59,63,80,65,80,58,Torrent,,,Rain Dish,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,0,0,Squirtle,Level ,Wartortle,Level ,Blastoise,,,,,,"It is recognized as a symbol of longevity. If its shell has algae on it, that Wartortle is very old.",pokemon_images/Wartortle.jpg
9,I,blastoise,Kamex,water,,Shellfish Pokémon,88.14,11.86,1.6,85.5,45,5120,79,83,100,85,105,78,Torrent,,,Rain Dish,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,0,0,Squirtle,Level ,Wartortle,Level ,Blastoise,,,Gigantamax Blastoise,Mega Blastoise,,"It crushes its foe under its heavy body to cause fainting. In a pinch, it will withdraw inside its shell.",pokemon_images/Blastoise.jpg
10,I,caterpie,Caterpie,bug,,Worm Pokémon,50.2,49.8,0.3,2.9,255,3840,45,30,35,20,20,45,Shield Dust,,,Run Away,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0,0,0,Caterpie,Level ,Metapod,Level ,Butterfree,,,,,,"For protection, it releases a horrible stench from the antenna on its head to drive away enemies.",pokemon_images/Caterpie.jpg
